epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,2.90777083427187,2.6945281624794006,0.22574052085329446,0.4793251007795334,0.07171143498271704,1.4591544270515442
2,2.5023123650323775,2.226834714412689,0.44061295917036936,0.5228240005671978,0.07857596920803189,1.2198128700256348
3,1.7668181601024808,1.6265482753515244,0.6917232482961748,0.6129583567380905,0.040570374112576246,0.9783075004816055
4,1.5761364679487924,1.5764603316783905,0.7072435775395296,0.6154880300164223,0.04204223910346627,0.9599742963910103
5,1.5385649847605871,1.5506596863269806,0.7102597654764378,0.621062345802784,0.04086493165232241,0.9506859704852104
6,1.5118843089966547,1.5282811969518661,0.7197630027832556,0.621750496327877,0.03590158629231155,0.941011518239975
7,1.48847752714914,1.5039633065462112,0.7246500316356336,0.6241290718317032,0.03876864677295089,0.9300164207816124
8,1.4657352140971593,1.486499235033989,0.7291122167500786,0.6256555244326591,0.039060892537236214,0.9240993484854698
9,1.4489657878875732,1.470495194196701,0.7326642070587909,0.6274681612849236,0.04047301970422268,0.9174652993679047
10,1.4353738020336817,1.4567455053329468,0.7387659953269574,0.6287488415837288,0.03821832430548966,0.9121878147125244
