epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1,cat_acc_2,cat_acc_3
1,3.0165898534986706,2.803788483142853,0.20487922438196898,0.26924385130405426,1.0237327218055725,0.28967657312750816,0.7404894456267357,0.18560654725910725,0.11186217609792948,1.4674187004566193,0.18118160590529442,0.5101701319217682,0.30633673816919327,0.16101781651377678
2,2.281193175013103,1.7860510796308517,0.6499637700232171,0.5145755931735039,0.6663008108735085,0.46655536722391844,0.8475293964147568,0.6140634727865664,0.0942617068067193,1.1191155016422272,0.7689573168754578,0.19569919630885124,0.18012116849422455,0.7214437872171402
3,1.7380162382882738,1.7144860178232193,0.6697811962466169,0.5248444601893425,0.6403589695692062,0.4768780767917633,0.8582696542143822,0.6386375705499129,0.07946537341922522,1.0826537162065506,0.7568134590983391,0.20668578706681728,0.19438409246504307,0.7496289685368538
4,1.698512385761927,1.6900358349084854,0.6762743826661175,0.5296109169721603,0.6301331296563148,0.48230859730392694,0.8631226643919945,0.6387201206318421,0.07430469756945968,1.0732987523078918,0.762948527932167,0.21040522120893002,0.2069318573921919,0.7489487826824188
5,1.6799858486841595,1.6753130108118057,0.6814274645257695,0.5303956121206284,0.6237753480672836,0.4835315886884928,0.867209181189537,0.6474469802220683,0.07287206361070275,1.067156121134758,0.7491671815514565,0.2099921554327011,0.21622034162282944,0.7587466761469841
6,1.6669374023165022,1.6666689366102219,0.6825698533267738,0.532194621860981,0.6209569796919823,0.48540803231298923,0.8680061399936676,0.6519138510039499,0.07102613197639585,1.064361296594143,0.7437552139163017,0.21654809266328812,0.21653760969638824,0.7647912129759789
7,1.6581157048543294,1.6606717258691788,0.6846262616124701,0.5323109701275826,0.6186135187745094,0.48576946649700403,0.8692307323217392,0.6469175737158592,0.06999067636206746,1.0614489763975143,0.7497561126947403,0.21901942417025566,0.22165701538324356,0.7526453137397766
8,1.6498168574439154,1.6523517370224,0.6867281571070415,0.533069834113121,0.6162710934877396,0.4865905288606882,0.8705231621861458,0.6462842278846351,0.07448539650067687,1.0610095113515854,0.7535378858447075,0.2197431419044733,0.2199916299432516,0.7530894577503204
9,1.6477402145900424,1.650223284959793,0.6869756888127173,0.5320008844137192,0.6156914532184601,0.4863898018375039,0.8715801909565926,0.6528719783083277,0.06956143258139491,1.0563367828726768,0.7510033398866653,0.22276788018643856,0.2260019388049841,0.7457860484719276
10,1.6399049380468944,1.6429079473018646,0.6879849213500671,0.5329267308115959,0.6146204546093941,0.48672666819766164,0.8718954771757126,0.6545861590149117,0.07230726210400462,1.0553121492266655,0.7396844327449799,0.22260197065770626,0.22162794694304466,0.7629923224449158
11,1.6329261783569577,1.6332871913909912,0.6933381911780583,0.5369028970599174,0.6068132892251015,0.49085279274731874,0.8751007094979286,0.6561493577067489,0.06834072479978204,1.0498081520199776,0.7604816779494286,0.22264441661536694,0.2302693258970976,0.7500157505273819
12,1.6245525905064173,1.6291436851024628,0.6928147398321655,0.5375319719314575,0.6073294505476952,0.4913575788959861,0.8735410496592522,0.6578206444001706,0.06795175839215517,1.04797725379467,0.765273816883564,0.22039306536316872,0.23313695937395096,0.7466264739632607
13,1.6236338407274276,1.6248357445001602,0.6926091874245547,0.534441702067852,0.609694629907608,0.48791714711114764,0.8741309121251106,0.6577442281892788,0.07661646651104093,1.0500259697437286,0.7441104352474213,0.22044253535568714,0.22229940816760063,0.7648162096738815
14,1.6181328202050829,1.624094843864441,0.6948290414483373,0.5376875698566437,0.604031465947628,0.49212370719760656,0.8766271844506264,0.6566326467580915,0.0638056374154985,1.0436409041285515,0.7572646662592888,0.23356879316270351,0.22834043763577938,0.7493209317326546
15,1.6140177931104387,1.6187399923801422,0.695141198682699,0.5375615954399109,0.6048328727483749,0.491532567422837,0.8758895471692085,0.6578720903625418,0.06969527108594775,1.0446279048919678,0.7645442187786102,0.2255751807242632,0.22800398990511894,0.7480068802833557
16,1.6091084253220331,1.6132578402757645,0.6976695902562529,0.5399819239974022,0.5991546288132668,0.495116806589067,0.8785707727074623,0.665265287911252,0.06321258097887039,1.0393561497330666,0.7427396103739738,0.23670996725559235,0.23991138860583305,0.7611062601208687
17,1.6024619662572468,1.6122509092092514,0.6972648639450241,0.5388597175478935,0.6007484346628189,0.4937162837013602,0.8779047280550003,0.6664239233970358,0.0650811418890953,1.0396794974803925,0.7530298605561256,0.23484936729073524,0.23601819574832916,0.7509677112102509
18,1.5956976092050945,1.6059144735336304,0.700858217010151,0.540099561214447,0.5951563715934753,0.4959186273626983,0.8814909011125565,0.665026054573938,0.060384003445506096,1.0341066643595695,0.763671949505806,0.23653696849942207,0.24923633225262165,0.7342292591929436
19,1.5898009936014812,1.5953768342733383,0.7012111213594566,0.5414347723126411,0.5953114554286003,0.49585985019803047,0.8801126256585121,0.6674487367271742,0.06950101163238287,1.0355809926986694,0.736328087747097,0.23851821571588516,0.23471803963184357,0.7738750576972961
20,1.5832503428534856,1.5927744656801224,0.7040268817430967,0.5421366095542908,0.5914367586374283,0.49745156709104776,0.8823611810803413,0.6696685123966688,0.06722253793850541,1.0329669266939163,0.7567262798547745,0.24231682159006596,0.24308030493557453,0.7476828619837761
