epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1
1,1.844598790955922,1.6932450979948044,0.21084296825871332,0.6055349335074425,0.3944650702178478,0.6062732264399529,1.0,0.19345003196584554,0.10153635125607252,0.7021118551492691,0.6080362871289253,0.6045101657509804
2,1.6323886333949982,1.5643333047628403,0.2924459949224,0.6472580879926682,0.35274190083146095,0.646995771676302,1.0,0.269692638705518,0.08727250713855028,0.6591439321637154,0.6129237860441208,0.6810677573084831
3,1.4345740666465154,1.3472311049699783,0.422641734940851,0.7136994749307632,0.28630052879452705,0.7113306745886803,1.0,0.3917964589085999,0.09468752704560757,0.6016886234283447,0.6773582249879837,0.7453031241893768
4,1.299181338340517,1.281350925564766,0.45714386606436863,0.7307802736759186,0.2692197300493717,0.7286194004118443,1.0,0.421041067030589,0.08657637424767017,0.5747437179088593,0.7071310356259346,0.7501077651977539
5,1.252607230156187,1.248330518603325,0.47084752857521217,0.7377146035432816,0.26228540390729904,0.7353409118950367,1.0,0.4288628746639038,0.0826510339975357,0.5600887015461922,0.7055608481168747,0.7651209756731987
6,1.2248459392123752,1.230183869600296,0.478671304936549,0.7416400536894798,0.25835995003581047,0.7392315976321697,1.0,0.4389593304525881,0.08459313493221998,0.5582151487469673,0.7191330268979073,0.7593301683664322
7,1.2085249064460633,1.2099729627370834,0.4882298725015688,0.7463265061378479,0.2536734901368618,0.7440508119761944,1.0,0.44501106085565095,0.08204103354364634,0.5497235581278801,0.7192609086632729,0.7688407152891159
8,1.19159367917076,1.1939622312784195,0.4984295690648388,0.7513368278741837,0.24866317957639694,0.7491965889930725,1.0,0.45447229314150667,0.08030220028012991,0.544717863202095,0.7361136674880981,0.7622795104980469
9,1.1782757497969127,1.186072826385498,0.5010143519900805,0.7525793239474297,0.2474206779152155,0.7505339831113815,1.0,0.4562453858128796,0.08079455886036158,0.5435690954327583,0.7370801642537117,0.7639878019690514
10,1.1720180227642967,1.1805677711963654,0.5026287820917729,0.7534993439912796,0.2465006560087204,0.7512234672904015,1.0,0.45834452566269474,0.07760796044021845,0.5380126237869263,0.7320951446890831,0.7703517898917198
11,1.1676004689837258,1.1753471344709396,0.5066278920363473,0.7554707676172256,0.2445292342454195,0.7532330378890038,1.0,0.4635017500279693,0.0785196116194129,0.5381587147712708,0.735430084168911,0.7710359916090965
12,1.1641368922733126,1.1732594519853592,0.5051168648972904,0.754626601934433,0.24537339806556702,0.7525671795010567,1.0,0.4575385879396727,0.078139778226614,0.5371366366744041,0.7403944656252861,0.7647398933768272
13,1.159512898278615,1.1678464859724045,0.508424138636771,0.7562683075666428,0.24373169615864754,0.75423514097929,1.0,0.46308474965754914,0.07733894418925047,0.5351586639881134,0.7383024990558624,0.7701677829027176
14,1.1570650093139163,1.165815532207489,0.5105909394773775,0.7573747709393501,0.24262522906064987,0.7552735023200512,1.0,0.4638304788087853,0.07820556312799454,0.5362758487462997,0.7444965541362762,0.7660504505038261
15,1.1553187370300293,1.1647656857967377,0.5079058975179029,0.7560070231556892,0.24399297311902046,0.7539670839905739,1.0,0.46217792158379406,0.07676429394632578,0.5333894118666649,0.7365672737360001,0.7713668942451477
16,1.150993888340299,1.1618017256259918,0.509043028244362,0.7567380294203758,0.24326197616755962,0.7543792426586151,1.0,0.46164389212164253,0.08052974939346313,0.5372132584452629,0.7237827330827713,0.7849757522344589
17,1.147483511576577,1.158989042043686,0.511277667962204,0.7576311305165291,0.24236887320876122,0.7556958198547363,1.0,0.46688889903568753,0.07883436232805252,0.5344392582774162,0.747282512485981,0.7641091272234917
18,1.1490108531618874,1.1593172997236252,0.5103425754706263,0.7572025880217552,0.24279741570353508,0.7551967240869999,1.0,0.46190397345401973,0.07841791119426489,0.5345903038978577,0.7489233985543251,0.7614700496196747
19,1.1429092165023562,1.1521697491407394,0.5145525474234929,0.7592659369111061,0.2407340593636036,0.7573309168219566,1.0,0.4657440519686629,0.07951497286558151,0.5340258702635765,0.7564001157879829,0.7582617178559303
20,1.1334962409640115,1.146964281797409,0.5165075655550138,0.7602540627121925,0.23974595218896866,0.7582907229661942,1.0,0.4679017334289055,0.07575233746320009,0.5265569314360619,0.7578541934490204,0.7587272524833679
