epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,1.808049587976365,1.7037885040044785,0.17015518687828848,0.6385878324508667,0.0972139984369278,0.6778984740376472
2,1.6327014574928889,1.5938615500926971,0.2492020561216877,0.6598039418458939,0.08666664827615023,0.640546590089798
3,1.4684623252777826,1.3709124028682709,0.405550900123412,0.7223760262131691,0.08553057536482811,0.5811927765607834
4,1.3102296288051303,1.2957065105438232,0.44483964150201805,0.7411026880145073,0.08229072112590075,0.5593797340989113
5,1.262767481425452,1.263800099492073,0.4599064092736244,0.7477605119347572,0.08016404137015343,0.5509131550788879
6,1.2395968967013888,1.243179127573967,0.4684143877552243,0.7527816817164421,0.0792395556345582,0.5424435287714005
7,1.22154800854032,1.2344674468040466,0.4710367992446908,0.7529892399907112,0.08058585971593857,0.5428848564624786
8,1.2086660086162506,1.2214745730161667,0.4787753667273691,0.7557656615972519,0.07973467744886875,0.538625493645668
9,1.2004970728404938,1.2118769586086273,0.48232632902207334,0.75898227840662,0.0772874467074871,0.5333577990531921
10,1.1877436846021623,1.202292948961258,0.48546084425951047,0.7608093321323395,0.07979143038392067,0.5329476520419121
11,1.1777380610269212,1.1937460750341415,0.48872107273259013,0.7625828683376312,0.07998773269355297,0.531076468527317
12,1.16859475582365,1.1859331578016281,0.4914372538560281,0.7635630518198013,0.07733871601521969,0.5244045481085777
13,1.1623025621686662,1.1780523210763931,0.49370570127614327,0.7654427513480186,0.07679994497448206,0.520765632390976
14,1.1563865968159266,1.170694425702095,0.4981818882260421,0.7669783234596252,0.07785605173557997,0.5204662382602692
15,1.1466600100199382,1.1637608259916306,0.5038796903873055,0.7686342969536781,0.07648734655231237,0.518782265484333
16,1.1429059997437492,1.161019280552864,0.5032247517831878,0.7705065235495567,0.0753706656396389,0.5158271454274654
17,1.139448633269658,1.156403973698616,0.5061135920010392,0.771943598985672,0.07334001827985048,0.5125865787267685
18,1.138054509011526,1.1536720246076584,0.5057142257727015,0.770477719604969,0.07508216239511967,0.5134407542645931
19,1.1342920859654744,1.1580800563097,0.5003822150919528,0.7706784307956696,0.07728251442313194,0.5151950977742672
20,1.1332265195392428,1.153285413980484,0.5017720100468818,0.7700863182544708,0.07946610171347857,0.5167538858950138
