epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1,cat_acc_2
1,2.5031616801307317,2.268768846988678,0.20559332843343853,0.39341967552900314,0.7740689143538475,0.3937487453222275,0.8325114250183105,0.18854455181021976,0.08644250687211752,1.1299430876970291,0.42254526540637016,0.4017125442624092,0.35698842629790306
2,1.611516627054366,1.216644898056984,0.7071520276178507,0.7012580558657646,0.365165576338768,0.6087281790872415,0.9335763677954674,0.6355524376691867,0.0737704923376441,0.7177352011203766,0.8222736641764641,0.14241143688559532,0.8614994361996651
3,1.1903308932743375,1.141187697649002,0.7299523720441349,0.713614858686924,0.3445417955517769,0.6173097870002191,0.9418433606624603,0.6707294013072324,0.07209525303915143,0.6857405230402946,0.8473137617111206,0.1333246175199747,0.8712909817695618
4,1.1476104751465812,1.117083802819252,0.7364118327981476,0.7206179946660995,0.33648310974240303,0.6240512747317553,0.9428989216685295,0.6327725242070562,0.06614727806299925,0.6737456396222115,0.8558314740657806,0.13877306692302227,0.8775492832064629
5,1.132241578329177,1.1044024676084518,0.7403926878947561,0.7220692932605743,0.33292901888489723,0.6260463995859027,0.9450016841292381,0.6508251992368299,0.059653596486896276,0.6625403389334679,0.8614738285541534,0.14407335314899683,0.8725920170545578
6,1.1164048739842005,1.0887117683887482,0.7471851735026688,0.7251800373196602,0.3271070048213005,0.6281619320313137,0.9477129727602005,0.676447858374434,0.06520223943516612,0.6599924564361572,0.8636621534824371,0.14172744005918503,0.8790962025523186
7,1.105054984017024,1.0796141400933266,0.7493117822198467,0.7264166250824928,0.3249279111623764,0.6299000059564908,0.9486554712057114,0.6809349785126664,0.06318018212914467,0.6542291045188904,0.866305947303772,0.14609444886446,0.8772996217012405
8,1.0977477015010895,1.0739325433969498,0.7513331565860878,0.7267125099897385,0.3235844485461712,0.6300193596010407,0.9497030526399612,0.6646460715141118,0.06523613492026925,0.6530991122126579,0.8663578927516937,0.14464520011097193,0.8790549859404564
9,1.0901016252381461,1.068082869052887,0.7534857285814403,0.7281439527869225,0.3212754875421524,0.6320064732184013,0.9505805745720863,0.6527387609742621,0.06702563259750605,0.652446798980236,0.8685204088687897,0.1497513558715582,0.877747654914856
10,1.0841624102895222,1.0625241100788116,0.7550925924742545,0.7282375246286392,0.31991034001111984,0.633017788330714,0.9518521428108215,0.6929356551939929,0.06080613471567631,0.6451417803764343,0.870193287730217,0.156509131193161,0.8723509460687637
11,1.0741975042555068,1.0508795455098152,0.7611831097605564,0.7308526188135147,0.3142313025891781,0.63795087300241,0.9549160897731781,0.6924936903255701,0.05583546357229352,0.6371256932616234,0.8656636402010918,0.1724222768098116,0.8757667019963264
12,1.0609674340202695,1.0403128564357758,0.7633299988835315,0.7323609888553619,0.31199514493346214,0.6390907081464927,0.9556438773870468,0.7011352060523769,0.06348959915339947,0.6376994997262955,0.8726117983460426,0.17271947488188744,0.8719408512115479
13,1.0489903641125513,1.0236417278647423,0.7686397242239532,0.7347301542758942,0.3071837015450001,0.6415834495176872,0.9580861628055573,0.6561684460784707,0.06032118992879987,0.626970075070858,0.880004994571209,0.17704070918262005,0.8677046447992325
14,1.0383997852840121,1.0135179981589317,0.7707755535178066,0.7374476045370102,0.30405034869909286,0.6450818156202633,0.9585020542144775,0.6688554735453413,0.062376744113862514,0.6250765398144722,0.8843577951192856,0.18518147617578506,0.8657061755657196
15,1.0260082237304202,1.0059101432561874,0.7727573982571307,0.7367631644010544,0.303132101893425,0.6460539630303781,0.9601047486066818,0.7055726827793755,0.06527114752680063,0.6236022636294365,0.8744665384292603,0.19262304343283176,0.871072307229042
16,1.015273994869656,1.0017919912934303,0.7752186405863281,0.7381288483738899,0.3006235286593437,0.6491623309751352,0.961247630417347,0.6944394641865986,0.06539095006883144,0.6240602657198906,0.8670206367969513,0.20294837281107903,0.8775179833173752
17,1.0136755439970229,0.996537871658802,0.7793029483108044,0.7404729723930359,0.29640715196728706,0.6522392717500527,0.9631198793649673,0.6826488838403096,0.05962706217542291,0.6185900196433067,0.8765984401106834,0.21224068477749825,0.8678786903619766
18,1.0090438259972467,0.9932081177830696,0.7779040552434329,0.7409651353955269,0.29677847400307655,0.653765023375551,0.9622564017772675,0.6979554884891138,0.0591355306096375,0.6173213198781013,0.8752218186855316,0.2185997311025858,0.8674735203385353
19,1.008519816966284,0.9934398829936981,0.7788507164365903,0.7409668862819672,0.29599306359887123,0.6552114722629389,0.9630400612950325,0.7112917578744795,0.05161173548549414,0.6128069683909416,0.8696726709604263,0.22687649354338646,0.8690852522850037
20,1.0037562875520616,0.9881306663155556,0.7801977282070104,0.7411440536379814,0.29545392096042633,0.653576759621501,0.9634020254015923,0.705158775307531,0.06920771021395922,0.6224378049373627,0.8704270124435425,0.21548072434961796,0.8748225420713425
