epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,1.9304884634320698,0.2973604263160516,0.9382025890407109,1.402267836034298,0.4523800015449524,0.8056002259254456,0.7044037580490112,0.7979416251182556,0.6768578290939331,0.001,29.84
2,1.3300791732848636,0.4785646695552567,0.1709857907087084,1.308229349553585,0.4845018982887268,0.8219627141952515,0.7411354184150696,0.7432258725166321,0.700349748134613,0.001,29.86
3,1.290033225029234,0.4909208625927586,0.14089203424870023,1.2904818132519722,0.4936278760433197,0.8228471279144287,0.7464857697486877,0.7348034381866455,0.7042802572250366,0.001,28.6
4,1.272893500706506,0.4993425967428657,0.14110378802768767,1.2787525728344917,0.4971858263015747,0.8253598213195801,0.7499259114265442,0.7292554378509521,0.7051596641540527,0.001,27.26
5,1.2612321774164836,0.503795009711639,0.19102368882251164,1.2708691656589508,0.499839186668396,0.8262643814086914,0.7525056600570679,0.7242301106452942,0.7076979279518127,0.001,63.85
6,1.2526108859077332,0.5050400916380298,0.1955598978296159,1.2635664641857147,0.50335693359375,0.827751874923706,0.7546934485435486,0.7190640568733215,0.7102508544921875,0.001,65.83
7,1.248813277199155,0.5066935604362767,0.24203161658748748,1.26156547665596,0.505346953868866,0.8264251947402954,0.7546210885047913,0.7194259166717529,0.7083944082260132,0.001,65.1
8,1.2446423712230863,0.5072463768115942,0.24810655415058136,1.2569236755371094,0.5038795471191406,0.8298423886299133,0.7563457489013672,0.7155262231826782,0.7127242684364319,0.001,59.58
9,1.2424520102758256,0.5082524030081179,0.2852119005152157,1.2540729939937592,0.5031558871269226,0.831028401851654,0.7573256492614746,0.7142196893692017,0.7134125828742981,0.001,62.76
10,1.2385631421255687,0.508581104636685,0.29667698509163326,1.2574691697955132,0.5072766542434692,0.8273900747299194,0.7552935481071472,0.7173152565956116,0.7109193801879883,0.001,64.79
11,1.2357264776078483,0.5097265800089645,0.23359743351974185,1.2545156031847,0.5058695673942566,0.8282142281532288,0.7554102540016174,0.7171544432640076,0.7104330658912659,0.001,66.28
12,1.2339380809238978,0.5085512226704517,0.2904206867965441,1.2516344636678696,0.5067540407180786,0.8294605016708374,0.7567158341407776,0.7141191363334656,0.7114483118057251,0.001,66.29
13,1.2338111873656985,0.509049255441008,0.304004004786885,1.2473416328430176,0.506472647190094,0.83221435546875,0.7587569952011108,0.7096365690231323,0.71455317735672,0.001,63.49
14,1.2316987363118974,0.5102993176951044,0.28520705456298495,1.2574264407157898,0.5051258206367493,0.8286363482475281,0.753903865814209,0.7191243767738342,0.7146877646446228,0.001,62.58
epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,1.9988351625109475,0.31647990437770807,1.4564469488603728,1.378774918615818,0.4584304988384247,0.8119120597839355,0.7151690721511841,0.7814585566520691,0.6836599111557007,0.001,21.99
2,1.3198564601322962,0.4801932367149758,0.16096571513584682,1.3026882335543633,0.4848235249519348,0.8249979615211487,0.7434011101722717,0.7379593253135681,0.7199549078941345,0.001,21.31
3,1.2860093665501429,0.4907614921061806,0.14782510662362688,1.2896705642342567,0.4908539056777954,0.8242542147636414,0.7469989657402039,0.7335571050643921,0.7055363059043884,0.001,21.02
4,1.2721495590512715,0.49713631156930127,0.1301366329666168,1.2781663239002228,0.49796977639198303,0.8249979615211487,0.7512482404708862,0.7266221642494202,0.7072728276252747,0.001,21.52
5,1.2574171982114277,0.5035410129986553,0.1357730787897867,1.2676934003829956,0.5008241534233093,0.8273096680641174,0.7540751695632935,0.7205917835235596,0.7205100059509277,0.001,21.19
6,1.245725949605306,0.5063250161860651,0.1835298334795331,1.2585205137729645,0.5022513270378113,0.8325963020324707,0.7579548954963684,0.7118678092956543,0.713962733745575,0.001,21.02
7,1.238603149141584,0.507863937447084,0.24556601579700196,1.2533129155635834,0.5054474472999573,0.8320133686065674,0.759024977684021,0.7097571492195129,0.7273786664009094,0.001,20.99
8,1.2356516993235027,0.5084814980825738,0.39235076899566346,1.2526128143072128,0.5063319206237793,0.830847442150116,0.7586386799812317,0.711445689201355,0.7140573263168335,0.001,20.9
9,1.2299236361942594,0.5097465013197868,0.35700805721774936,1.2486322671175003,0.5076786875724792,0.832375168800354,0.7595978379249573,0.7083098888397217,0.7161343097686768,0.001,21.99
10,1.222787652696882,0.5106479406344937,0.24329167888278053,1.243747167289257,0.5059298872947693,0.8352898359298706,0.7609104514122009,0.7050936818122864,0.7217739820480347,0.001,23.87
11,1.2191279350765167,0.5111061307834055,0.3249000593546837,1.2474924176931381,0.5061911940574646,0.8318525552749634,0.7587536573410034,0.7101994156837463,0.7251014709472656,0.001,20.88
12,1.2175460845705062,0.5125852881119578,0.33900149095626103,1.2447612807154655,0.505588173866272,0.833721935749054,0.7597293853759766,0.7079882621765137,0.7347326874732971,0.001,21.87
13,1.2155545193051536,0.5115643209323173,0.4339691050468929,1.2415491193532944,0.5076385140419006,0.833902895450592,0.7604042291641235,0.707063615322113,0.7250778675079346,0.001,22.7
14,1.211205480590699,0.5131779471089197,0.26656249283798156,1.2404420301318169,0.5042212605476379,0.8359330892562866,0.7599766254425049,0.7065409421920776,0.7165825366973877,0.001,22.43
15,1.209941549906655,0.5135365307037203,0.3850238239244809,1.2400797605514526,0.5069349408149719,0.8343250155448914,0.7601512670516968,0.7063198685646057,0.7156956195831299,0.001,22.35
