epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,0.46928064785306417,0.6522313637496884,0.04954275240500768,0.4427277483046055,0.6940627098083496,1.0,0.38635507225990295,0.305937260389328,0.46128126978874207,0.24455401824188486,0.001,16.64
2,0.4366437277150533,0.7019147344801795,0.037551830300972575,0.43761761486530304,0.6978452205657959,1.0,0.39542362093925476,0.3021548092365265,0.4768589437007904,0.25043595985560846,0.001,16.27
3,0.4335976077450646,0.703904263275991,0.037997390040093,0.43519669584929943,0.7009838223457336,1.0,0.4000900089740753,0.29901614785194397,0.4682542681694031,0.25230997505066893,0.001,16.52
4,0.4315524082335215,0.7058339566192969,0.0420147410874802,0.4351646453142166,0.7014063596725464,1.0,0.40028247237205505,0.2985936403274536,0.45626258850097656,0.2521027036070642,0.001,16.57
5,0.4306742156308795,0.7062029419097482,0.04703837825310609,0.43333461321890354,0.7027744650840759,1.0,0.40336060523986816,0.2972255051136017,0.46913066506385803,0.25400336793024975,0.001,16.84
6,0.4291998989998348,0.7075492395911244,0.05537083070902597,0.4323727414011955,0.7047059535980225,1.0,0.4079170525074005,0.29529404640197754,0.48312678933143616,0.2569109235837747,0.001,16.71
7,0.4288095202710893,0.7081276489653453,0.05954438066553502,0.4321244824677706,0.703881025314331,1.0,0.4071045219898224,0.29611894488334656,0.4977991580963135,0.2568723437988485,0.001,15.97
8,0.4282682698870462,0.7077536773871852,0.06322619318962097,0.4319210387766361,0.7041224837303162,1.0,0.40767449140548706,0.29587751626968384,0.4959636628627777,0.25723744947400723,0.001,16.84
9,0.427741398413976,0.7089254549987535,0.0682651252441463,0.4312609639018774,0.7054503560066223,1.0,0.4100745916366577,0.2945496141910553,0.5041279196739197,0.25846098681382257,0.001,16.89
10,0.42764660999888465,0.708561455996011,0.0701923898997761,0.43130534142255783,0.704987645149231,1.0,0.40898117423057556,0.29501238465309143,0.497684508562088,0.25776103370484066,0.001,16.87
11,0.42663271133861846,0.7094290700573423,0.05088211897583235,0.4316893257200718,0.7040822505950928,1.0,0.4078272879123688,0.2959177494049072,0.49063828587532043,0.2574406180774499,0.001,16.48
12,0.42678341222187827,0.7098229867863376,0.06806756032719499,0.4317593276500702,0.703881025314331,1.0,0.4073208272457123,0.29611894488334656,0.49371910095214844,0.2571026014114845,0.001,16.96
13,0.4264150739662231,0.7094739466467215,0.06428658226061434,0.43134573474526405,0.7050479650497437,1.0,0.4089631140232086,0.29495200514793396,0.4941820204257965,0.2576810153055817,0.001,16.91
14,0.4263555161536686,0.7094739466467215,0.07163063164741273,0.43171170353889465,0.7034786343574524,1.0,0.4069499671459198,0.2965213358402252,0.47958502173423767,0.2571098534916755,0.001,16.34
15,0.42593939200280206,0.7100423834455248,0.06588398724321336,0.4320551007986069,0.7033981680870056,1.0,0.40665748715400696,0.296601802110672,0.48344123363494873,0.2568787662804687,0.001,16.61
