epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,2.875086852482387,2.6621193289756775,0.23100499370060776,0.49109194800257683,0.06183526059612632,1.4479894191026688
2,2.4719096706027077,2.180711716413498,0.43623006491279626,0.5301811136305332,0.056355683133006096,1.2094430774450302
3,1.7646071002596901,1.6359114348888397,0.6838123509371086,0.6019123569130898,0.047894371673464775,0.9922628104686737
4,1.5648890184977697,1.5647911131381989,0.7006639036362399,0.6162664070725441,0.05590903013944626,0.9643980041146278
5,1.5248096405513702,1.5361734181642532,0.7134659324476238,0.6184037625789642,0.05186197394505143,0.9503614008426666
6,1.4977957577932448,1.5153650343418121,0.7169154413393373,0.6224326640367508,0.05101627903059125,0.9394869655370712
7,1.4844808067594255,1.5029900670051575,0.722668627041767,0.6224908083677292,0.048598422203212976,0.9346550703048706
8,1.4685782969944061,1.4902512729167938,0.7300873877397147,0.6218731477856636,0.04774226434528828,0.9298193603754044
9,1.4536970910571871,1.4805655777454376,0.7289924957910278,0.6238980069756508,0.04667020682245493,0.9226639494299889
10,1.4536601002254184,1.4729636758565903,0.734200437611102,0.6260698214173317,0.04903871053829789,0.9232153743505478
