epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,2.8344992910112654,2.605835109949112,0.22402401685874582,0.48876411095261574,0.06436843983829021,1.4306149631738663
2,2.326871179399036,1.8390456438064575,0.6091812682601203,0.5707446560263634,0.040653718169778585,1.0711229145526886
3,1.6127118156069802,1.5466388463974,0.710479863427402,0.6165035665035248,0.043400630820542574,0.959488645195961
4,1.497954733788021,1.5104985386133194,0.7194263759085177,0.6224844008684158,0.048359864857047796,0.9454472735524178
5,1.4710869316070798,1.4872264564037323,0.7293066004543624,0.6240310221910477,0.04618281405419111,0.9333706796169281
6,1.4533343826021468,1.4772642254829407,0.7289509745489346,0.6263847649097443,0.04871631506830454,0.9297348037362099
7,1.4455134868621826,1.4704355597496033,0.7339690558467955,0.6252532973885536,0.049249150324612856,0.9280428439378738
8,1.4361241336852786,1.4574592411518097,0.739473813260866,0.6272849068045616,0.04521501576527953,0.920007549226284
9,1.424155490739005,1.4469756036996841,0.7428342110283053,0.6291409134864807,0.04578012740239501,0.9169991165399551
10,1.4154266100081185,1.437427505850792,0.7452853435305945,0.6295691430568695,0.04635422909632325,0.9107369184494019
11,1.4088731682489788,1.4298672825098038,0.7461044321468255,0.6310469657182693,0.04791173478588462,0.9074407517910004
12,1.3992494742075603,1.4232143312692642,0.7472352050758418,0.6322623416781425,0.05249030888080597,0.9074101150035858
13,1.3867319841233512,1.4158290177583694,0.7503519896116323,0.6320990398526192,0.04683054215274751,0.9008814096450806
14,1.3859053433887543,1.4196151196956635,0.7523727794750789,0.6312467083334923,0.04830633103847504,0.9059967994689941
15,1.3815372444334484,1.4130976647138596,0.7529820289641699,0.6320915222167969,0.04553672531619668,0.9020905420184135
16,1.3806700706481934,1.4132366329431534,0.7521679461069509,0.6310208290815353,0.04660857794806361,0.9020054191350937
17,1.3792473153462486,1.407998651266098,0.753131440931454,0.6341631636023521,0.04741393867880106,0.9018603712320328
18,1.3760130083750164,1.4016171842813492,0.7578198546173393,0.6343964263796806,0.042250493075698614,0.8976866751909256
19,1.367643780178494,1.3979264050722122,0.7566149846521065,0.6359764337539673,0.04464615881443024,0.8963841199874878
20,1.366054270002577,1.3936064690351486,0.758528318494339,0.6349084824323654,0.04462658567354083,0.895151674747467
21,1.3604947782698131,1.3903502374887466,0.7585851711711005,0.6346126198768616,0.04598930198699236,0.8939357027411461
22,1.3553495690936135,1.384413331747055,0.7581184002933073,0.6373153701424599,0.05565734300762415,0.8962836340069771
23,1.3486321786093334,1.3813171088695526,0.7604553949283134,0.6371489986777306,0.05117664812132716,0.8932884931564331
24,1.342639098091731,1.3841888010501862,0.7580174429927278,0.6380011066794395,0.0510950549505651,0.8950315862894058
25,1.3454858556626335,1.3727409541606903,0.7642439651026629,0.6382794380187988,0.04638423211872578,0.8867672383785248
26,1.341080177397955,1.3715715408325195,0.7631962765418032,0.6386415362358093,0.04677874827757478,0.8866144493222237
27,1.339127640875559,1.3725229650735855,0.7626303312653366,0.6375516355037689,0.04894133610650897,0.8883768990635872
28,1.337790604621645,1.3696994185447693,0.7630749054821897,0.6386090591549873,0.0520297228358686,0.888885572552681
29,1.3320567153749012,1.3704089522361755,0.7686664864431381,0.6355961933732033,0.04648298444226384,0.8903695791959763
30,1.3318345565644523,1.360722839832306,0.7674273933697052,0.6397863924503326,0.04093423509038985,0.880338579416275
