epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,0.6151130521108233,0.5349386565612863,0.21339288436704212,0.5180486589670181,0.603539228439331,1.0,0.20196692645549774,0.39646077156066895,0.23564869165420532,0.13190268661891322,0.001,9.12
2,0.5028011590715439,0.6218886916217843,0.050425568359002235,0.49226790107786655,0.6317442655563354,1.0,0.25898119807243347,0.36825576424598694,0.2819701135158539,0.1677291633287146,0.001,8.86
3,0.48792610802347697,0.6389415210785703,0.03605093477323415,0.48459272645413876,0.6448301076889038,1.0,0.2844366133213043,0.3551699221134186,0.29421818256378174,0.1831291215770262,0.001,9.09
4,0.4807233332641541,0.6518964994206314,0.03876015285236968,0.4785328656435013,0.6553994417190552,1.0,0.3073163330554962,0.3446005880832672,0.32333776354789734,0.19749490282438675,0.001,8.98
5,0.475024351997981,0.6626334661156449,0.037410175353879964,0.4736808240413666,0.6638146042823792,1.0,0.32444462180137634,0.33618536591529846,0.336482971906662,0.2078463955036114,0.001,8.89
6,0.47056264867858283,0.6702821251137602,0.04640023476843323,0.46976265497505665,0.6694113612174988,1.0,0.3382980525493622,0.3305886685848236,0.36728137731552124,0.217053246492015,0.001,9.0
7,0.46686680827822,0.6756829337431185,0.053418966985884164,0.46632897667586803,0.6750282049179077,1.0,0.34637126326560974,0.3249718248844147,0.34761878848075867,0.22060921054538474,0.001,9.01
8,0.46317807123774574,0.6809146562827915,0.057145662502282195,0.46306397393345833,0.6792358160018921,1.0,0.35657334327697754,0.3207642138004303,0.36981040239334106,0.22728490623128225,0.001,8.92
9,0.4600657792318435,0.6849379105932435,0.046940236189772215,0.46076030284166336,0.6814301609992981,1.0,0.3596982955932617,0.3185698091983795,0.36136725544929504,0.22858945656878865,0.001,8.9
10,0.4578933592826601,0.6862160025064526,0.07198208911965291,0.45856026746332645,0.6846110224723816,1.0,0.3653176724910736,0.315388947725296,0.3596504032611847,0.2315350404897377,0.001,8.87
11,0.4551392722697485,0.6899259502389584,0.0497165217936512,0.4565403647720814,0.6861410737037659,1.0,0.36884331703186035,0.31385892629623413,0.36404532194137573,0.23376455110344094,0.001,8.87
12,0.4532834253613911,0.6917660047443568,0.06939418424689581,0.45435066521167755,0.6884763836860657,1.0,0.3759520351886749,0.31152358651161194,0.39172226190567017,0.2389228059749599,0.001,8.87
13,0.45149089656178915,0.6934369731600698,0.061255715713496244,0.45273756608366966,0.6900668144226074,1.0,0.3780652582645416,0.3099331557750702,0.38262999057769775,0.23966785649669217,0.001,8.83
14,0.44958154596979655,0.6948145274789761,0.05570535497769477,0.45123689249157906,0.6918384432792664,1.0,0.3831070065498352,0.30816152691841125,0.39969179034233093,0.24323966573878794,0.001,8.65
15,0.448927000401512,0.6943669466533388,0.1022437277383038,0.4510948099195957,0.6897648572921753,1.0,0.3803741931915283,0.3102351427078247,0.392671674489975,0.2423011124270539,0.001,8.84
