epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1,cat_acc_2,cat_acc_3,cat_acc_4
1,3.542731205622355,3.1522450745105743,0.25463656942717716,0.2237949576228857,1.218591883778572,0.23997159628197554,0.6499592065811157,0.2502223000597273,0.13941463083028793,1.7965241968631744,0.06583308940753341,0.32005248218774796,0.4276690445840359,0.2714839354157448,0.11481942981481552
2,2.829002580945454,2.301133632659912,0.6197097624407868,0.38249292597174644,0.874916635453701,0.37406043112277987,0.7940305694937706,0.5946915549661745,0.06022494053468108,1.4082352221012115,0.4007343761622906,0.34393779933452606,0.3410816229879856,0.29780206084251404,0.48674629628658295
3,2.0272104777987043,1.9071884006261826,0.7205065730432338,0.45757320150732994,0.7626537978649139,0.42779388315975664,0.8243694305419922,0.6932066090566783,0.06807824783027172,1.2585367560386658,0.7095387578010559,0.2780937887728214,0.2418148498982191,0.22304776310920715,0.6864742562174797
4,1.8845168276438637,1.8407565653324127,0.7348553546272045,0.46775421500205994,0.7404890209436417,0.43603864833712574,0.832145169377327,0.7074467645443067,0.06796186929568648,1.234257385134697,0.7304676398634911,0.2611897327005863,0.24647077918052673,0.22798199206590652,0.7140830978751183
5,1.8397896176292783,1.8104722201824188,0.7431662107385448,0.472527127712965,0.7260855808854103,0.44135470055043696,0.8377435505390167,0.7145645685076568,0.06578635750338435,1.223122164607048,0.7337243929505348,0.2589069865643978,0.2565719932317734,0.24297391064465046,0.7145962193608284
6,1.814280767289419,1.7889542877674103,0.7473238885956156,0.4761921502649784,0.7168986573815346,0.4452231407165527,0.8413990214467049,0.7207418960659794,0.05995536968111992,1.2118936032056808,0.7116793170571327,0.2669346407055855,0.25824639201164246,0.25545477867126465,0.7338005751371384
7,1.796753177567134,1.778446987271309,0.7503764898485257,0.47765035182237625,0.7105572074651718,0.4473486006259918,0.8450117707252502,0.723069641412952,0.05615921504795551,1.2072113454341888,0.723494715988636,0.2719760909676552,0.2668631300330162,0.2568587064743042,0.7175503596663475
8,1.783172681218102,1.7672771960496902,0.7530644596955474,0.4801158122718334,0.70529855042696,0.4494414426386356,0.8466131389141083,0.7257846522655051,0.054005134385079145,1.2021978050470352,0.7259007394313812,0.26958007365465164,0.26244863867759705,0.2671112082898617,0.7221665531396866
9,1.7754846205787054,1.7572146356105804,0.7538382813157839,0.4798806607723236,0.7050784528255463,0.4490773968398571,0.8471197262406349,0.7232830358538394,0.057103201281279325,1.1996015906333923,0.7213046476244926,0.2706097736954689,0.2650437317788601,0.2610301300883293,0.7273987010121346
10,1.7649736404418945,1.7507547587156296,0.7557036969504518,0.48043861612677574,0.7018996253609657,0.4494199901819229,0.8492719605565071,0.7248157173667906,0.05539953941479325,1.1960566192865372,0.7272743210196495,0.26499615609645844,0.26868100464344025,0.2605661675333977,0.7255823016166687
