epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,1.6249773067141335,0.2632014806611092,0.7554651967116764,1.2514695823192596,0.3840038478374481,0.8672608733177185,0.5293289422988892,0.7572271823883057,0.5259393453598022,0.4256213803649867,0.001,55.22
2,1.1070094089659432,0.481025287975615,0.20590577156297743,1.0885730385780334,0.5005018711090088,0.8839637041091919,0.6670637726783752,0.6278607845306396,0.6344271898269653,0.5102511517533478,0.001,56.8
3,1.0618987934929984,0.5144100054377378,0.17441888756695248,1.0737208425998688,0.5158194899559021,0.8776599764823914,0.6732723712921143,0.6230024695396423,0.6441720724105835,0.5107683438208136,0.001,53.07
4,1.0479536302505978,0.5277549126719248,0.16810009439313223,1.064500741660595,0.5259776711463928,0.8747490644454956,0.6796995401382446,0.617361307144165,0.6465036869049072,0.5119595502132251,0.001,55.7
5,1.0409557895054893,0.5328234830457319,0.16462749621224781,1.0614480674266815,0.5282663106918335,0.8736047744750977,0.6807894110679626,0.6162169575691223,0.6476321816444397,0.5122461438486225,0.001,50.94
6,1.035739985723344,0.5349337244513622,0.13605304263413898,1.0581486970186234,0.5292901396751404,0.8745884299278259,0.682490885257721,0.6147313714027405,0.64938884973526,0.5131305612307638,0.001,81.47
7,1.0315241000008961,0.5357718345131728,0.13534105131550442,1.053122416138649,0.5298923850059509,0.8766562342643738,0.6847511529922485,0.6114590764045715,0.6524699926376343,0.5151731576500924,0.001,72.45
8,1.0261024917875017,0.5369242358481624,0.1607146505562086,1.0530224069952965,0.531859815120697,0.8757126927375793,0.6857578754425049,0.6099333763122559,0.6590497493743896,0.5166031743544979,0.001,46.9
9,1.0199235583108568,0.5392938922729246,0.1629357925719685,1.0459075272083282,0.5319200158119202,0.8794667720794678,0.6892319321632385,0.6056371927261353,0.6611352562904358,0.5191545479542048,0.001,50.44
10,1.015213137581235,0.5414989199355453,0.2119875798622767,1.0414528250694275,0.5337870121002197,0.8802899122238159,0.6908769607543945,0.6025254726409912,0.6583556532859802,0.5203560372248293,0.001,77.57
11,1.0100515323971946,0.5430304662984969,0.17984711792733934,1.0407273769378662,0.5339476466178894,0.878964900970459,0.6898661255836487,0.604011058807373,0.6576983332633972,0.5193943572742018,0.001,68.74
12,1.0053741875148954,0.544716663922854,0.19687125654447646,1.0393018051981926,0.5342286825180054,0.8796073198318481,0.6907510161399841,0.6030073165893555,0.6591700315475464,0.5198272752384088,0.001,71.85
13,1.0018895268440247,0.5450658764486084,0.17544952768181998,1.0391779243946075,0.5329639315605164,0.87908536195755,0.690320611000061,0.6047940254211426,0.6620038151741028,0.519599773409667,0.001,71.9
14,0.9975034906750634,0.5471262303505595,0.17371093730131784,1.0387921631336212,0.5349112749099731,0.8784831166267395,0.6900583505630493,0.6042318940162659,0.6577926278114319,0.5188693298915398,0.001,71.22
15,0.9937580237312923,0.5483833954432754,0.2068815661801232,1.0414346493780613,0.5365374088287354,0.8762346506118774,0.6882642507553101,0.6063398122787476,0.6571630835533142,0.5168240779054313,0.001,65.29
