epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1,cat_acc_2,cat_acc_3,cat_acc_4
1,3.4757848656366743,3.1235814094543457,0.2629381528203724,0.22763311490416527,1.2135223001241684,0.24291730728000402,0.6464172601699829,0.25545927408490554,0.11854846961796284,1.7244902104139328,0.06372669618576765,0.29025622084736824,0.4466289393603802,0.272702906280756,0.14127177372574806
2,2.723263040421501,2.134757339954376,0.6641964976136707,0.4245551824569702,0.839544378221035,0.4026582341641188,0.7974342778325081,0.6431564628825855,0.03938197065144777,1.3290442824363708,0.6522397994995117,0.31157636269927025,0.26042717322707176,0.21587165258824825,0.5731761828064919
3,1.995603773328993,1.9069517999887466,0.7137385213526349,0.45754697546362877,0.7801900580525398,0.4245579890906811,0.8140012472867966,0.6882845414507494,0.07004240667447448,1.2557425647974014,0.7176397517323494,0.2490762658417225,0.22423400543630123,0.19915061630308628,0.732689306139946
4,1.8956046369340684,1.8550184667110443,0.7261047475141926,0.4634776711463928,0.7578160315752029,0.4308860760182142,0.8232630640268326,0.7015465070275112,0.06479953275993466,1.2363623082637787,0.7110751047730446,0.2567175980657339,0.23868628405034542,0.21078875847160816,0.737162634730339
5,1.8534413103073362,1.825904980301857,0.7340603682084109,0.46650945395231247,0.7442170903086662,0.4341485552489758,0.8288627117872238,0.7085525209884249,0.06359326560050249,1.228286787867546,0.7065763920545578,0.25873069651424885,0.24293757416307926,0.22343548387289047,0.7390626296401024
6,1.834635166894822,1.8155108988285065,0.7348573745463687,0.4665851965546608,0.7416383549571037,0.4349163308739662,0.8311323672533035,0.7111532233564457,0.06115161068737507,1.2256200015544891,0.7170215025544167,0.265450794249773,0.2440741714090109,0.22948441468179226,0.7185507714748383
7,1.8151388811686682,1.7958300113677979,0.7397448913069313,0.4692009575664997,0.7314530313014984,0.43774190805852414,0.8357859551906586,0.7152625588454395,0.05874653626233339,1.2164839953184128,0.7007270306348801,0.2611095141619444,0.25978341698646545,0.23583407700061798,0.7312555015087128
8,1.8064838969518269,1.7843683511018753,0.7426585037759181,0.4728425443172455,0.7264261618256569,0.44113481864333154,0.836237259209156,0.7161127424097036,0.06018625246360898,1.2149421721696854,0.7095808163285255,0.25961581617593765,0.2619080822914839,0.2383436392992735,0.7362257391214371
9,1.7955239557084584,1.7772615551948547,0.7439550411843774,0.4719218760728836,0.7235728725790977,0.44013881683349615,0.8387800231575966,0.720254451687977,0.05949028255417943,1.2110942602157593,0.6887208819389343,0.26601114869117737,0.2627630215138197,0.23790168203413486,0.7452973499894142
10,1.7872809890716794,1.766773283481598,0.7453911721787534,0.473982322961092,0.7212377488613129,0.4418066021054983,0.8396507427096367,0.7181932198774683,0.06064632209017873,1.2079051733016968,0.6947167068719864,0.261009119451046,0.2617676891386509,0.23987855948507786,0.7516609355807304
11,1.7774243657551114,1.7549921423196793,0.7502674497298276,0.4776088446378708,0.711923137307167,0.4462975285947323,0.8433841317892075,0.7204862712127844,0.05564627982676029,1.2004745602607727,0.7202703654766083,0.2586384676396847,0.27047198824584484,0.25160897709429264,0.730497844517231
12,1.7674614077522641,1.7527043670415878,0.7507711860136745,0.47765395045280457,0.7093551009893417,0.4467728484421969,0.8444659411907196,0.7240946095784129,0.05068490467965603,1.1970318853855133,0.7054697200655937,0.25807617977261543,0.28286653384566307,0.2554597947746515,0.7319920137524605
13,1.764152721753196,1.7427019625902176,0.7532221837707705,0.47885261103510857,0.7056101635098457,0.4478179603815079,0.8473527133464813,0.727262865667077,0.051816458348184824,1.192965343594551,0.7134143561124802,0.27016233280301094,0.27577221766114235,0.25183381140232086,0.727907083928585
14,1.7549679544236925,1.741828128695488,0.7531223261381257,0.47781775891780853,0.7080652117729187,0.44636730216443543,0.8454318270087242,0.7258784041526714,0.057789275888353586,1.1957781165838242,0.7124655693769455,0.2602812610566616,0.2740522027015686,0.24778045900166035,0.7372570186853409
15,1.7535627626237416,1.7371185719966888,0.755541227249423,0.47837139666080475,0.7016436830163002,0.44836389943957333,0.8495451137423515,0.7266244242590645,0.049052983056753874,1.188766971230507,0.7255437672138214,0.26292663626372814,0.28419822826981544,0.2599182818084955,0.7092325836420059
16,1.7434580250391885,1.7252598702907562,0.756748480140533,0.4815288446843624,0.7001759558916092,0.45015494301915165,0.8481196761131287,0.7316772478445479,0.05263894097879529,1.185494303703308,0.7285721823573112,0.255103537812829,0.2785521615296602,0.26453839987516403,0.7240084335207939
17,1.732542388022892,1.7173137068748474,0.7592638730275987,0.4832677058875561,0.695206306874752,0.4522974032908678,0.850244827568531,0.7323734897589298,0.05201429966837168,1.181969627737999,0.7253347560763359,0.25776501558721066,0.2860555313527584,0.2626836821436882,0.7296480312943459
18,1.7255595033130948,1.7066110670566559,0.762209966098453,0.484813928604126,0.6905180364847183,0.4533374529331923,0.8530364036560059,0.7347063459336297,0.0536884693428874,1.1777231842279434,0.7250500172376633,0.2581765726208687,0.2886449992656708,0.25692118518054485,0.7378944903612137
19,1.716650474639166,1.6971525847911835,0.7648245170995976,0.4849487394094467,0.6842009350657463,0.4542294062674045,0.8582914844155312,0.73856272814601,0.050201491452753544,1.1706096827983856,0.7133951857686043,0.2639146614819765,0.29671192541718483,0.2621524091809988,0.7349728494882584
20,1.707181217178466,1.6863678991794586,0.766333640818852,0.48844553157687187,0.6806564182043076,0.4573411084711551,0.8576039746403694,0.736951290322146,0.05128689203411341,1.1671671569347382,0.7158755511045456,0.2684319280087948,0.29766446352005005,0.2612951472401619,0.7434384524822235
