epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,2.0225869644255865,0.26622953105007147,1.2848994873818897,1.4318656623363495,0.4249722957611084,0.8285195827484131,0.7101811766624451,0.7763176560401917,0.6898207664489746,0.001,19.91
2,1.4007036894086808,0.42642629186519493,0.3504538098497996,1.385137401521206,0.4292653501033783,0.8361583948135376,0.7200356125831604,0.7616849541664124,0.7009662389755249,0.001,19.24
3,1.3470622414634341,0.44387686517004976,0.295143102842664,1.3161449804902077,0.45290738344192505,0.8468205332756042,0.7419712543487549,0.727662980556488,0.7144677639007568,0.001,20.51
4,1.2936400496770466,0.4629007283934021,0.2555501373514297,1.2804999276995659,0.4626624882221222,0.8505895137786865,0.7502648234367371,0.7136954665184021,0.7172144651412964,0.001,21.37
5,1.26353867470272,0.4739983968374881,0.36068160453486064,1.2558781430125237,0.47856494784355164,0.8513957262039185,0.7591869235038757,0.7001511454582214,0.7198095917701721,0.001,19.56
6,1.2443298915075878,0.48527530084190923,0.3032491791342932,1.2488103583455086,0.490073561668396,0.8453693389892578,0.7614056468009949,0.7004938125610352,0.7392575144767761,0.001,20.04
7,1.2363481426995897,0.4918871015120511,0.2734393201886661,1.244525246322155,0.4939635097980499,0.8443414568901062,0.7609823942184448,0.7010380029678345,0.7289380431175232,0.001,19.77
8,1.2335088063800146,0.4964227569416439,0.36324785011155264,1.2486972510814667,0.49432632327079773,0.841781735420227,0.7565106749534607,0.704504668712616,0.7279080152511597,0.001,19.61
9,1.232980381874811,0.5004207056902311,0.3497623290334429,1.2365604043006897,0.5012798309326172,0.8430917859077454,0.7606795430183411,0.6992442011833191,0.7288348078727722,0.001,19.64
10,1.2309655310615661,0.5031590267509074,0.295656669470999,1.240170918405056,0.5022473335266113,0.8391413688659668,0.7592960000038147,0.7051295042037964,0.7208864092826843,0.001,19.71
11,1.229353113779946,0.50565836706447,0.2982910530907767,1.2350623607635498,0.5047264099121094,0.8388189077377319,0.7600487470626831,0.7029527425765991,0.7277829647064209,0.0008,19.71
12,1.229735838042365,0.506066625840789,0.27874560677815996,1.2350826859474182,0.5050690174102783,0.8394235372543335,0.7600664496421814,0.7027108669281006,0.7168511748313904,0.0008,19.73
13,1.2283321675800143,0.5080232807077814,0.22996904511773397,1.236669808626175,0.506157398223877,0.8377909660339355,0.7586046457290649,0.7058349251747131,0.7142325043678284,0.0008,19.87
14,1.2288349128904796,0.5081875799714218,0.2800016619619869,1.2381908744573593,0.5075682997703552,0.8359367251396179,0.7574440836906433,0.7077093720436096,0.7154532074928284,0.0008,19.27
15,1.2274524124841841,0.5085609873887869,0.2728572610824827,1.2378883957862854,0.5077899694442749,0.8354126811027527,0.75724858045578,0.7084954380989075,0.7156832814216614,0.00064,20.92
16,1.2268043150977483,0.509407377534814,0.24446478497887414,1.235830344259739,0.509100079536438,0.8350902199745178,0.7581725716590881,0.7072659730911255,0.7147343754768372,0.00064,21.0
17,1.2272628924203297,0.5096214644541033,0.3172788844695167,1.2386104315519333,0.508636474609375,0.8335180878639221,0.7566384077072144,0.7108132839202881,0.7085603475570679,0.00064,20.68
18,1.2266927124961975,0.510074532120506,0.3043399803222172,1.2373647391796112,0.5092008709907532,0.8344452381134033,0.7570129036903381,0.7094225287437439,0.7087780237197876,0.00064,20.39
19,1.2239940034018622,0.5101790861973682,0.2260596572406708,1.2364312261343002,0.5088179111480713,0.8356545567512512,0.7573924660682678,0.7075884342193604,0.7115294933319092,0.0005120000000000001,20.7
20,1.2242878770071364,0.5117673124125605,0.28667439567664316,1.2359066009521484,0.5100272297859192,0.8352514505386353,0.7573594450950623,0.7073465585708618,0.7120595574378967,0.0005120000000000001,20.93
