epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,1.8939517547213842,0.29404504782474544,0.7631338879702583,1.4426808431744576,0.42297273874282837,0.8011959791183472,0.6825197339057922,0.8279252648353577,0.6552236080169678,0.001,70.27
2,1.346823465256464,0.46917020831881834,0.16231162834262092,1.3188109993934631,0.4787991940975189,0.8207212090492249,0.7366940379142761,0.7503662109375,0.6979568004608154,0.001,69.01
3,1.2993046461589752,0.4858168028585363,0.13866040193372303,1.2996206656098366,0.4854212999343872,0.8228684067726135,0.7427989840507507,0.7423193454742432,0.7028305530548096,0.001,67.47
4,1.2827221533608815,0.493585213643738,0.1558427693588393,1.2863261327147484,0.49184274673461914,0.8244536519050598,0.7471388578414917,0.7347540855407715,0.7104519605636597,0.001,61.09
5,1.2716405145705691,0.4967005404544595,0.17525598856191787,1.2838535904884338,0.4953344166278839,0.8220657110214233,0.7474835515022278,0.736198902130127,0.7051420211791992,0.001,67.42
6,1.266860980836172,0.4987060942958665,0.20699659604874868,1.2802965193986893,0.4968394339084625,0.8229085206985474,0.7481799721717834,0.7333894968032837,0.7038282752037048,0.001,68.47
7,1.2649848517917452,0.49887529734948394,0.25304465279692695,1.2743345946073532,0.4957558214664459,0.8273433446884155,0.7506081461906433,0.726667046546936,0.7089262008666992,0.001,69.59
8,1.2607461460052976,0.4997810313423774,0.23896737668722395,1.2726759761571884,0.49374911189079285,0.8290289640426636,0.7512151598930359,0.7261052131652832,0.716492235660553,0.001,68.96
9,1.2577726462530712,0.500552398204457,0.20686587064512194,1.2722553461790085,0.4973210394382477,0.826420247554779,0.7506535649299622,0.7273292541503906,0.7054947018623352,0.001,64.31
10,1.2547053855562966,0.5004230076340437,0.220135903192891,1.2684768810868263,0.4966989755630493,0.8287279605865479,0.7519028186798096,0.7242791056632996,0.7125113010406494,0.001,66.85
epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,2.0982336808764743,0.25935842183316576,1.2948817627297506,1.4354845210909843,0.4320831596851349,0.8010956645011902,0.6838608384132385,0.8251158595085144,0.6569702625274658,0.001,22.29
2,1.351283898429265,0.46956335659045895,0.15737317975551363,1.3233262971043587,0.4775349795818329,0.8196576833724976,0.7341764569282532,0.7542592287063599,0.6966378092765808,0.001,21.51
3,1.3005243350589086,0.48613530272416916,0.12381799034182987,1.30697051435709,0.4856621026992798,0.8193365931510925,0.7382461428642273,0.7510083913803101,0.699475109577179,0.001,21.55
4,1.2838057468807886,0.4949537677538792,0.12816358582367973,1.2950247004628181,0.4928461015224457,0.8210021257400513,0.7436670064926147,0.7420183420181274,0.7032080292701721,0.001,22.49
5,1.270029862721761,0.497432094833335,0.19465959651602638,1.2826380208134651,0.4935283958911896,0.8262195587158203,0.7484169602394104,0.7323660850524902,0.7114004492759705,0.001,21.45
6,1.2603598776317777,0.49968150013436713,0.23088058782002283,1.2794008404016495,0.4955752193927765,0.8258985280990601,0.7486779093742371,0.7307406663894653,0.7108344435691833,0.001,21.7
7,1.253588116358197,0.500746484060077,0.26331305208187256,1.2750281691551208,0.49609696865081787,0.8274436593055725,0.7511241436004639,0.7274296283721924,0.7092301845550537,0.001,21.54
8,1.2477425488214644,0.5013685541101413,0.2938930615782738,1.2727018892765045,0.49647822976112366,0.8281861543655396,0.7517073750495911,0.7262858152389526,0.7109513282775879,0.001,21.19
9,1.240820633040534,0.5024235849150501,0.25574304943992976,1.2702957913279533,0.49635782837867737,0.8291894793510437,0.7518573999404907,0.7248610258102417,0.7126497030258179,0.001,21.06
10,1.23589489384303,0.5029958893611092,0.28366875565714306,1.270214095711708,0.495836079120636,0.8278449773788452,0.7513418197631836,0.7255433201789856,0.7100117206573486,0.001,21.43
11,1.2292113871801467,0.5045236934040669,0.25075073587516,1.2687040343880653,0.4923444390296936,0.8319185972213745,0.75165855884552,0.7225733995437622,0.7221990823745728,0.001,23.8
12,1.2249540658224196,0.505349802430552,0.33077029458114077,1.26350549608469,0.49294644594192505,0.8329018950462341,0.7531852126121521,0.7204864025115967,0.7134962677955627,0.001,21.43
13,1.2211136571944705,0.5050512088065213,0.3818313598869339,1.2618646323680878,0.4939698576927185,0.8321794867515564,0.7530691623687744,0.7214094996452332,0.7164613008499146,0.001,21.47
14,1.2162347975231351,0.507509629644375,0.3504996623784777,1.2616101875901222,0.4929865896701813,0.8340457081794739,0.753239631652832,0.7192221879959106,0.7143224477767944,0.001,22.78
15,1.2106502396719796,0.5074399577987678,0.2890518662475404,1.2642512321472168,0.49346819519996643,0.8313767910003662,0.7514117360115051,0.7230148911476135,0.7182061076164246,0.001,21.14
