epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,2.8712403357975065,2.6718180179595947,0.17843713210041318,0.49733132123947144,0.057777403853833675,1.429492175579071
2,2.295714620559935,1.9051868468523026,0.5587011132106614,0.5728627666831017,0.03897618129849434,1.1124726682901382
3,1.6921163040494163,1.6163040399551392,0.6717490510820284,0.6084203645586967,0.05297159496694803,1.0065167769789696
4,1.5518481598960028,1.557624563574791,0.6897678645817102,0.6143446490168571,0.05480478145182133,0.9834683388471603
5,1.5121767293839228,1.5345258116722107,0.6973781463908054,0.616450123488903,0.053714752197265625,0.9734240770339966
6,1.4943165552048456,1.5190656334161758,0.7044798971710805,0.6176358610391617,0.0517227528616786,0.9635335728526115
7,1.4781987421096316,1.5065984278917313,0.7104575341655658,0.6194195747375488,0.04839887889102101,0.9570872336626053
8,1.4688267102317205,1.4952159821987152,0.7116795045962103,0.6195152252912521,0.05374587373808026,0.9524092078208923
9,1.4550105314406137,1.4805312752723694,0.7176959552421649,0.6237659901380539,0.050931416451931,0.9447919428348541
10,1.443176195735023,1.4738305658102036,0.7159033328906425,0.6247216612100601,0.052702839486300945,0.9412543028593063
