Loss,QWK,tau,r_alpha,r_beta
Full (focal+WOL),0.6824821829795837,0.5129629471077942,0.7068794682063486,0.9183753035377494
Focal only,0.6786156296730042,0.5074985091906292,0.5334902296517635,0.8643744999622079
WOL only,0.6842036247253418,0.516215512290968,0.7308088198735606,0.9229685145725828
