K,Static_ACC,Static_QWK,Static_tau,Static_r_alpha,Static_r_beta,Dynamic_ACC,Dynamic_QWK,Dynamic_tau,Dynamic_r_alpha,Dynamic_r_beta,Softmax_ACC,Softmax_QWK,Softmax_tau,Ordinal_ACC,Ordinal_QWK,Ordinal_tau,Ordinal_r_alpha,Ordinal_r_beta,DEEPGPCM_ACC,DEEPGPCM_QWK,DEEPGPCM_tau,DEEPGPCM_r_alpha,DEEPGPCM_r_beta
3,0.4069435000419616,0.1680110991001129,0.1248062578138043,0.1547573905509379,0.9403895859066316,0.5493173599243164,0.5332895517349243,0.3952369538874631,0.5783599134136227,0.962396294071532,0.5974867939949036,0.5778879523277283,0.4177110067833864,0.5955334305763245,0.5923705697059631,0.429901715698388,0.7544507963568793,0.8159802888292382,0.5955334305763245,0.5923705697059631,0.429901715698388,0.7544507963677267,0.8159802888292382
4,0.3095597624778747,0.1556832492351532,0.1172465352409293,0.1458548508186451,0.9006792610614885,0.4594681560993194,0.6186386942863464,0.4782424372076051,0.63446844537394,0.9492485233566288,0.5309499502182007,0.6672065854072571,0.5011289010267324,0.5287960171699524,0.6824821829795837,0.5129629471077942,0.7068794681718398,0.9183753035460368,0.5287960171699524,0.6824821829795837,0.5129629471077942,0.7068794682063486,0.9183753035377494
5,0.261614441871643,0.1775380373001098,0.1393811529398827,0.1205206401221384,0.8786684766501323,0.3888340294361114,0.6806342005729675,0.5406148211234356,0.4544392691056015,0.9556143755468114,0.5108334422111511,0.7401729822158813,0.5594707737909511,0.5067217350006104,0.7587974071502686,0.5758457878143265,0.7456236145272055,0.9121783046608606,0.5067217350006104,0.7587974071502686,0.5758457878143265,0.7456236144454321,0.912178304647798
6,0.2155967056751251,0.1502968519926071,0.1226981285977598,0.1075917567930475,0.8431909845864116,0.337190568447113,0.7036208510398865,0.5687271590905901,0.2458074317139996,0.9477439822391552,0.4761320054531097,0.7734245657920837,0.5914640993759109,0.470134824514389,0.791377067565918,0.609197297011162,0.7594400762431613,0.9268976675540138,0.470134824514389,0.791377067565918,0.609197297011162,0.7594400763208148,0.9268976675640996
