Model,ACC,QWK,tau,r_alpha,r_beta
Monotonic + ordinal,0.5287960171699524,0.6824821829795837,0.5129629471077942,0.7068794682063486,0.9183753035377494
Unconstrained + ordinal,0.529158353805542,0.6789152026176453,0.5100541448645453,0.6755538656471491,0.6844897727734028
