experiment,r_alpha,r_beta_mean,r_beta_thresholds
large_q2000_k4_static_gpcm,0.023733236657175416,0.8986494911744254,"0.8859,0.9066,0.9034"
large_q2000_k4_dynamic_gpcm,0.2812187333946936,0.9392882553670548,"0.9250,0.9488,0.9441"
large_q2000_k4_dkvmn_softmax,,,"nan,nan,nan"
large_q2000_k4_dkvmn_ordinal,0.293888757217299,0.8987348600564046,"0.8710,0.9116,0.9136"
large_q2000_k5_static_gpcm,0.029787269238773756,0.8662769954952945,"0.8478,0.8704,0.8755,0.8714"
large_q2000_k5_dynamic_gpcm,0.10908631725676372,0.9402173468229867,"0.9267,0.9477,0.9491,0.9374"
large_q2000_k5_dkvmn_softmax,,,"nan,nan,nan,nan"
large_q2000_k5_dkvmn_ordinal,0.35122594239422383,0.9236154808692989,"0.9029,0.9378,0.9371,0.9166"
large_q2000_k6_static_gpcm,0.027322460200091603,0.8493020853923889,"0.8198,0.8495,0.8621,0.8597,0.8554"
large_q2000_k6_dynamic_gpcm,0.08170627085220203,0.9424707760011335,"0.9232,0.9475,0.9538,0.9511,0.9367"
large_q2000_k6_dkvmn_softmax,,,"nan,nan,nan,nan,nan"
large_q2000_k6_dkvmn_ordinal,0.28155472463604625,0.9331163777500379,"0.9116,0.9443,0.9467,0.9404,0.9226"
