epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,2.8658926297747898,2.6744864881038666,0.20018116359459215,0.4993591755628586,0.06629087310284376,1.4483889937400818
2,2.566091813738384,2.4841515123844147,0.2690960797094835,0.5090406872332096,0.059832476545125246,1.3555005639791489
3,2.064980192789956,1.708029419183731,0.6557866828534817,0.5989959239959717,0.05516955954954028,1.02440345287323
4,1.6045359127105228,1.583436742424965,0.6993623244866962,0.6167945489287376,0.04101608553901315,0.9586097300052643
5,1.537757258566599,1.5476607978343964,0.7098397084774696,0.6201053038239479,0.03799528884701431,0.9417486488819122
6,1.5109351267890325,1.5269658714532852,0.7156047313997489,0.6222586259245872,0.04248503362759948,0.9365830272436142
7,1.4914212832375178,1.5027767717838287,0.7226910794556404,0.6240254789590836,0.04069379437714815,0.9263750612735748
8,1.4687660459488157,1.4897293746471405,0.7284378654507868,0.6266277059912682,0.038045319030061364,0.9207080379128456
9,1.4541322674070085,1.4738420397043228,0.7300285050767918,0.6295648142695427,0.042040014173835516,0.916158065199852
10,1.4415942298041449,1.4657848626375198,0.7341387230350442,0.6282785534858704,0.0423790393397212,0.9141635000705719
