epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1,cat_acc_2
1,nan,2.1064279973506927,0.20973819215267644,0.5507174506783485,0.6037397012114525,0.3975162326047818,0.8455428555607796,0.1636707544921555,0.06624745484441519,1.0233498737215996,0.8210491389036179,0.18817522749304771,0.1833243314176798
2,nan,1.9430301487445831,0.278590245323011,0.579100213944912,0.5633523054420948,0.42135568025211495,0.8575474843382835,0.2001006579829366,0.06690212059766054,0.9619858860969543,0.8558579310774803,0.1723746508359909,0.23583445884287357
3,nan,1.4309909045696259,0.5845073582781206,0.675039991736412,0.40588583424687386,0.5596697802344958,0.9190741702914238,0.403934154551555,0.06526065524667501,0.7706765085458755,0.8682365790009499,0.16154557466506958,0.649227187037468
4,nan,1.3416357189416885,0.6227974186598613,0.6916156113147736,0.37923263385891914,0.5778287481516601,0.9291517809033394,0.4479385883567694,0.05930298566818237,0.729647122323513,0.8808600753545761,0.15837259776890278,0.694253571331501
5,nan,1.3103812485933304,0.6316129845143275,0.6969766393303871,0.3717111796140671,0.5837643543879191,0.9313121885061264,0.4949029972544217,0.0631625927053392,0.7209644913673401,0.8848480507731438,0.16177771985530853,0.704667292535305
6,nan,1.298210620880127,0.6364558298603489,0.6965346559882164,0.3694852702319622,0.5842978768050671,0.9339800775051117,0.49838746836060843,0.06516539072617888,0.7176384702324867,0.883220724761486,0.1640021987259388,0.7056707069277763
7,nan,1.2831731587648392,0.6399332074570075,0.7009883224964142,0.3642582893371582,0.5875256055345138,0.9347534030675888,0.5007903515584836,0.064093257766217,0.7125034108757973,0.8892902284860611,0.16809975169599056,0.7051868364214897
8,nan,1.2762892842292786,0.6424489952149498,0.700350746512413,0.36352287605404854,0.5887492410838604,0.9361263811588287,0.5321764591021664,0.06628491450101137,0.712378241121769,0.8854785934090614,0.17630405351519585,0.7044650763273239
9,nan,1.2699495255947113,0.6442699157431686,0.7027476727962494,0.35847607254981995,0.5868153410653273,0.9387762546539307,0.5792852279584366,0.06814580922946334,0.7114479839801788,0.8959297612309456,0.18082314357161522,0.6836931183934212
10,nan,1.2633669972419739,0.6494894279261219,0.7023470252752304,0.3567911200225353,0.5895180981606245,0.9408618584275246,0.5529531807259416,0.06561820162460208,0.7086039558053017,0.8898261860013008,0.18816758133471012,0.6905605271458626
11,nan,1.257804811000824,0.6499820022277262,0.7028991356492043,0.35651300475001335,0.591255052636067,0.9405878782272339,0.49419376460087044,0.06619596481323242,0.7076839879155159,0.8882115930318832,0.19116046652197838,0.6943930983543396
12,nan,1.2501859664916992,0.6537046087338686,0.7040521800518036,0.3544604554772377,0.5954971611499786,0.9414873719215393,0.5841750767467765,0.06347961165010929,0.7047032117843628,0.884596087038517,0.19989444315433502,0.7020009532570839
13,nan,1.2507923394441605,0.6534031932807282,0.7030618563294411,0.35454192757606506,0.5927782524377108,0.9423962309956551,0.5970851557282524,0.06392231211066246,0.704907551407814,0.8865113705396652,0.19886893592774868,0.6929544508457184
14,nan,1.2470804303884506,0.653557010481723,0.7038424015045166,0.35363471880555153,0.5935252048075199,0.9425228834152222,0.5810396907112366,0.06537158275023103,0.7051846608519554,0.8870321363210678,0.20179852470755577,0.6917449533939362
15,nan,1.2440879493951797,0.6555716816546687,0.7034125477075577,0.3524710237979889,0.5940043969700733,0.944116435945034,0.6082027268167416,0.06125974841415882,0.7009829059243202,0.8850908949971199,0.20925103686749935,0.6876712590456009
16,nan,1.2394896447658539,0.6571072627525252,0.7040453851222992,0.3521967902779579,0.595355381568273,0.9437578245997429,0.6183926790259484,0.06344901723787189,0.702066220343113,0.8842726573348045,0.20554053783416748,0.6962529495358467
17,nan,1.237202763557434,0.6577853710247067,0.7049699500203133,0.35056518390774727,0.5949871943642695,0.9444648623466492,0.6448771753006487,0.06312566343694925,0.7007107138633728,0.887579657137394,0.20770368166267872,0.689678244292736
18,nan,1.23964062333107,0.6544826249823399,0.7057713642716408,0.3511197566986084,0.59307033320268,0.9431088790297508,0.6399293732221376,0.06642159027978778,0.7048982381820679,0.8933747932314873,0.20194053649902344,0.6838956698775291
19,nan,1.236627146601677,0.6550582094944924,0.7059524431824684,0.3502011261880398,0.5939344111829996,0.9438464418053627,0.584846941509058,0.06289698649197817,0.7002080455422401,0.8926351740956306,0.20919996313750744,0.6799680963158607
20,nan,1.2337240427732468,0.6571075864817293,0.7062273323535919,0.3503490909934044,0.5957293932636579,0.9434235915541649,0.5870342571068151,0.0623855609446764,0.700288787484169,0.8901566416025162,0.20485597103834152,0.692175567150116
