epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,1.4108626520822918,0.42017296231572343,0.14957738040931642,1.2786838337779045,0.4733044505119324,0.7159730195999146,0.5858742594718933,1.0201148986816406,0.5439051389694214,0.001,8.07
2,1.2244713192894345,0.48710748656977987,0.10927918624310266,1.1928448602557182,0.5000907182693481,0.7728711366653442,0.6764805912971497,0.857401967048645,0.6331480145454407,0.001,7.62
3,1.1805276624740115,0.5000124469139121,0.11630043588460438,1.1705545112490654,0.5068225264549255,0.7820618748664856,0.6931588649749756,0.8284591436386108,0.6597824692726135,0.001,7.84
4,1.1634705464045207,0.504582953702459,0.11059527442095772,1.159193940460682,0.5087977647781372,0.7828076481819153,0.6975671052932739,0.8227955102920532,0.662244975566864,0.001,7.73
5,1.1539939320276653,0.5082074950336813,0.11571757708277021,1.1528005972504616,0.5110954642295837,0.7910107970237732,0.7083373069763184,0.8019147515296936,0.6739075183868408,0.001,7.8
6,1.148285568706573,0.5103533429921385,0.11490427537096871,1.1488926857709885,0.5125868916511536,0.798730194568634,0.7170965075492859,0.7835735082626343,0.6693053841590881,0.001,7.72
7,1.1450427411094544,0.511189775607036,0.13585684460306924,1.1444658637046814,0.5153078436851501,0.7982867956161499,0.7171916961669922,0.7834727168083191,0.6760069131851196,0.001,7.6
8,1.1408409220831734,0.5127481292288391,0.11224837033521562,1.142086610198021,0.5150861740112305,0.7958278656005859,0.7158002853393555,0.7875844240188599,0.675983726978302,0.001,7.55
9,1.138700765276712,0.5138185638252851,0.12079504463407728,1.1403244212269783,0.5159528255462646,0.797964334487915,0.7185682058334351,0.7823843359947205,0.6673288345336914,0.001,7.58
10,1.1367101763922072,0.5142865677883826,0.12075315013764397,1.1404996141791344,0.5167187452316284,0.8041519522666931,0.7235130667686462,0.7674090266227722,0.6766186952590942,0.001,7.6
11,1.1349678550447737,0.5153818962126531,0.13477551984408545,1.1375450566411018,0.5159125328063965,0.8034666776657104,0.7211659550666809,0.7745440006256104,0.6721504926681519,0.001,7.46
12,1.1326133353369576,0.5159793480804369,0.12293505999777052,1.1372008919715881,0.5172629356384277,0.8052403330802917,0.7238931059837341,0.7675904631614685,0.6738086342811584,0.001,7.59
13,1.131634579764472,0.5165867574793506,0.13337620158517172,1.1363384798169136,0.5165776610374451,0.8016325831413269,0.7222372889518738,0.7748664617538452,0.6807060837745667,0.001,7.62
14,1.1303766719878665,0.5170497826768831,0.1349241408327269,1.1355418488383293,0.5164164304733276,0.8031845092773438,0.7231507301330566,0.7724680304527283,0.6796262264251709,0.001,7.81
15,1.129326581954956,0.5175128078744157,0.1283747454484304,1.1339018642902374,0.5174443125724792,0.7996976971626282,0.71978759765625,0.7779703736305237,0.672161877155304,0.001,8.87
