epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,0.48333385634043863,0.6360027889835151,0.20362388313053145,0.4444667901843786,0.6941786408424377,1.0,0.3880055546760559,0.30582132935523987,0.3912140130996704,0.24615338866382694,0.001,29.4
2,0.43275098999341327,0.706439563723293,0.044043161093242585,0.4308736324310303,0.7070233821868896,1.0,0.41393980383872986,0.29297658801078796,0.41972365975379944,0.2610017122356826,0.001,28.01
3,0.42690295359444996,0.7109367996414164,0.0435336238098523,0.42904647812247276,0.7093953490257263,1.0,0.41894450783729553,0.2906046509742737,0.423805296421051,0.26394660967484496,0.001,27.82
4,0.4253929333081321,0.7119926291149957,0.04307678504477418,0.42867870442569256,0.7088525891304016,1.0,0.41775378584861755,0.291147381067276,0.42434579133987427,0.26322393238241903,0.001,28.72
5,0.4247982066775125,0.712410976642263,0.05976419762841293,0.42774631455540657,0.7107019424438477,1.0,0.42114171385765076,0.28929805755615234,0.41819584369659424,0.26495737014915344,0.001,27.76
6,0.4238062534067366,0.7131879077643309,0.06447228218709665,0.4278103597462177,0.7097370624542236,1.0,0.4196535646915436,0.29026293754577637,0.4235902726650238,0.2643574392824149,0.001,27.98
7,0.42243754248770454,0.7144728323123661,0.06861022333540613,0.4267590455710888,0.711204469203949,1.0,0.4223620295524597,0.288795530796051,0.4297245144844055,0.2657529888643838,0.001,27.13
8,0.42130072675054037,0.7152746650729618,0.0786537846757306,0.42731533385813236,0.7092747688293457,1.0,0.41839540004730225,0.2907252609729767,0.42171305418014526,0.26347783425780363,0.001,27.11
9,0.4200348664843847,0.7159569699686239,0.08772623805063111,0.4275953248143196,0.7091139554977417,1.0,0.41857415437698364,0.2908860743045807,0.41643014550209045,0.2638397550338788,0.001,29.77
10,0.4192718064028119,0.7155535634244733,0.115304984447975,0.4261663742363453,0.7098174691200256,1.0,0.41933882236480713,0.29018253087997437,0.41653895378112793,0.2639315721945946,0.001,28.91
11,0.41783547921786235,0.7175456945066986,0.07692751941818093,0.42658318392932415,0.7096566557884216,1.0,0.41901928186416626,0.29034334421157837,0.4161839187145233,0.26375380851448954,0.001,28.18
12,0.4169668408613356,0.7177100453209821,0.10587307216510886,0.42915450409054756,0.7063801288604736,1.0,0.41186121106147766,0.293619841337204,0.39234375953674316,0.2594322294779927,0.001,27.97
13,0.41624629828664994,0.7180287862941381,0.09787732965889431,0.4277987387031317,0.7066213488578796,1.0,0.41376230120658875,0.293378621339798,0.4086175858974457,0.2612237999571665,0.001,29.14
14,0.41550148574132767,0.7185517207032223,0.09898192861250468,0.42736135981976986,0.7076666355133057,1.0,0.41561615467071533,0.29233336448669434,0.41812828183174133,0.2621452014244947,0.001,28.33
15,0.4150580744894724,0.7186563075850391,0.0991077609360218,0.4273499008268118,0.7098375558853149,1.0,0.41952675580978394,0.29016241431236267,0.4227219820022583,0.2641143137218191,0.001,28.04
