epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,1.624155922939903,0.3436756176048807,0.12366542769105811,1.5764125823974608,0.35640498995780945,0.7580711841583252,0.05754801630973816,0.8855238556861877,0.10580047965049744,0.044756488914303366,0.001,0.49
2,1.5958091522517956,0.3468591225156588,0.12132244184613228,1.5538234114646912,0.36014896631240845,0.7625992298126221,0.06885600090026855,0.8772518038749695,0.11327529698610306,0.05351801382991662,0.001,0.29
3,1.5707716314416182,0.35015104400234576,0.11985126471048907,1.5333501100540161,0.3629520833492279,0.765813946723938,0.07752679288387299,0.8712339401245117,0.1224336177110672,0.06016017626824902,0.001,0.28
4,1.5515506738110592,0.3537879273214699,0.11864569822424337,1.5141738295555114,0.36542192101478577,0.7685582637786865,0.08450642973184586,0.8660197854042053,0.1302497237920761,0.06537504798318862,0.001,0.3
5,1.5291629433631897,0.35728682590761923,0.11722927873856143,1.4958736181259156,0.3681662380695343,0.7719298005104065,0.09252423048019409,0.8599039316177368,0.13605353236198425,0.07165273271787978,0.001,0.27
6,1.5006816167580455,0.3608793569911443,0.11469397223309467,1.47893625497818,0.37040087580680847,0.774674117565155,0.09941252321004868,0.8549250364303589,0.14204475283622742,0.07687668329067229,0.001,0.31
7,1.4815946472318549,0.364600016755289,0.11364230454752319,1.4633172750473022,0.3725178837776184,0.7764971256256104,0.10425910353660583,0.8509849905967712,0.14696232974529266,0.08038152392193215,0.001,0.29
8,1.4619064801617672,0.36866071032569325,0.11203104963428095,1.448191726207733,0.37577182054519653,0.7785357236862183,0.11083594709634781,0.8456924557685852,0.15123814344406128,0.08524103566972595,0.001,0.27
9,1.4426338798121403,0.37253413890134585,0.11041583160036489,1.4339423894882202,0.37869253754615784,0.7804175019264221,0.11649028956890106,0.8408899307250977,0.15598706901073456,0.08955806280407082,0.001,0.29
10,1.4223590336347882,0.3762400145869575,0.10859806482729159,1.4204100966453552,0.38080957531929016,0.7829070091247559,0.12268366664648056,0.8362834453582764,0.16084840893745422,0.09424858703795432,0.001,0.29
11,1.4040269788942839,0.38009865908407703,0.10705869311564847,1.4078347325325011,0.38280898332595825,0.7841811180114746,0.1273873746395111,0.8330098986625671,0.1628262847661972,0.09781759403947927,0.001,0.27
12,1.3868644488485236,0.38339550859694166,0.10534424824934256,1.3962294578552246,0.3850632309913635,0.7853376269340515,0.1319296956062317,0.829599142074585,0.16753698885440826,0.10113310103914125,0.001,0.29
13,1.3771988153457642,0.3870274638898882,0.10473035452397246,1.3852267503738402,0.38627853989601135,0.7866901755332947,0.13593018054962158,0.8270312547683716,0.17016081511974335,0.1040779009784203,0.001,0.28
14,1.3566067501118309,0.390442586031017,0.10288208370145999,1.3743979930877686,0.3883759677410126,0.787925124168396,0.1404319554567337,0.8236989378929138,0.1772146075963974,0.10739280847121503,0.001,0.28
15,1.344570373233996,0.3939365565909886,0.1019590991108041,1.3642971396446228,0.39033618569374084,0.7893560528755188,0.14517958462238312,0.820307731628418,0.187212273478508,0.11101631457885525,0.001,0.28
