epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,0.7153883188489883,0.5103291996613377,0.05262933760171845,0.723024770617485,0.4946329593658447,1.0,-0.01063215546309948,0.5053670406341553,0.13076286017894745,-0.007088802188018857,0.001,0.6
2,0.7044242809689234,0.5155635240798845,0.05151346047955846,0.713511198759079,0.499356746673584,1.0,-0.001205823733471334,0.500643253326416,0.13878236711025238,-0.0008039313012144115,0.001,0.36
3,0.6930664219553508,0.520469146869864,0.050390898235260495,0.7047301828861237,0.5040604472160339,1.0,0.008208323270082474,0.4959395229816437,0.1451674997806549,0.005472724713326415,0.001,0.36
4,0.6812711821662055,0.5248468549230539,0.049054686216607926,0.696663610637188,0.5080003142356873,1.0,0.0160854272544384,0.49199968576431274,0.15192608535289764,0.010723963114944148,0.001,0.38
5,0.6702896763407995,0.5295582449325166,0.047676509394059104,0.689290102571249,0.5114376544952393,1.0,0.02294914796948433,0.48856234550476074,0.15845473110675812,0.015298244364119338,0.001,0.37
6,0.6617220337428744,0.5343543005129737,0.04678246053674864,0.6822923868894577,0.5154579281806946,1.0,0.03099069930613041,0.4845421016216278,0.16453133523464203,0.020656075083681873,0.001,0.37
7,0.6535169699835399,0.5390457692116142,0.04594344858612333,0.6758264414966106,0.5192369818687439,1.0,0.0385509692132473,0.4807630479335785,0.17003042995929718,0.025690717785451712,0.001,0.38
8,0.645011858334617,0.5437471985656657,0.04477113574033692,0.6697538457810879,0.5227949023246765,1.0,0.04566852003335953,0.4772051274776459,0.17582303285598755,0.030427911928748864,0.001,0.38
9,0.6375383422488258,0.5478709099058718,0.04394306904739804,0.6641437597572803,0.5257095694541931,1.0,0.05150765925645828,0.4742904305458069,0.1799020916223526,0.0343122970254187,0.001,0.38
10,0.6302421348435538,0.5521390507495393,0.04303220718625992,0.6587802320718765,0.5292072296142578,1.0,0.05849346145987511,0.4707928001880646,0.18594990670681,0.038955606906276675,0.001,0.38
11,0.6225816087117271,0.5566412669953683,0.04191209612384675,0.6538844369351864,0.5319811701774597,1.0,0.06403563171625137,0.4680188000202179,0.19047947227954865,0.04263676232313598,0.001,0.38
12,0.6166809409383743,0.5605458439165297,0.04116160050034523,0.649107564240694,0.5351772904396057,1.0,0.07040870189666748,0.4648227095603943,0.19511640071868896,0.04686573647534122,0.001,0.36
13,0.6106918548780774,0.5644155585437521,0.04043888478052048,0.6446521766483784,0.538313090801239,1.0,0.07667993754148483,0.461686909198761,0.19985413551330566,0.051024380926022544,0.001,0.41
14,0.6050756393917023,0.5683201354649136,0.039610309378495294,0.6404364816844463,0.5409262776374817,1.0,0.08189040422439575,0.4590737223625183,0.20330771803855896,0.054475656170638535,0.001,0.4
15,0.600061225512671,0.5720454205886747,0.039013404694814534,0.6365734748542309,0.5430570244789124,1.0,0.0861431136727333,0.45694300532341003,0.20671580731868744,0.05729051222764745,0.001,0.41
