epoch,train_loss,val_loss,qwk,cat_acc,ece,nll
1,2.9414654383583674,2.7580772936344147,0.14651183337967993,0.48274343833327293,0.04678383842110634,1.3849469274282455
2,2.557652885951693,2.37090602517128,0.3264076218714995,0.5400058105587959,0.047788208816200495,1.1885553449392319
3,2.0698486396244595,1.8618764579296112,0.5977584610736214,0.5919510126113892,0.02729336963966489,1.016042448580265
4,1.7556000683042738,1.7261305004358292,0.6487985795501512,0.6056856364011765,0.03515923907980323,0.9900367930531502
5,1.6752246164140248,1.6728757619857788,0.6718457096927081,0.6108403950929642,0.04204423492774367,0.9748743996024132
6,1.6305763494400751,1.6398093402385712,0.6828166740582267,0.6120945662260056,0.046216226648539305,0.96660927683115
7,1.5996619860331218,1.6195250302553177,0.6902429599392761,0.6155403926968575,0.04765546787530184,0.9633344933390617
8,1.5815847847196791,1.5988002121448517,0.6979819474303157,0.6158473715186119,0.05159912258386612,0.9592956528067589
9,1.5587379837793016,1.581781953573227,0.70534884782014,0.6175210550427437,0.05073849717155099,0.955469124019146
10,1.5442244401053777,1.5733769685029984,0.70905160428041,0.6171680241823196,0.05247296253219247,0.9568187147378922
11,1.5331958551255485,1.562449872493744,0.7092428191675431,0.6191207468509674,0.055553211364895105,0.9554359614849091
12,1.5212080043459695,1.549806758761406,0.7127699376812289,0.6214394196867943,0.057016706094145775,0.954276829957962
13,1.5099560041276237,1.5414311438798904,0.7155391710329714,0.6218037083745003,0.05688476376235485,0.9535980671644211
14,1.4996523081310211,1.5292766690254211,0.7185450675741006,0.6231624484062195,0.05625392636284232,0.9485458955168724
15,1.4900555024071345,1.520218163728714,0.7212149774086171,0.6224791333079338,0.059077604208141565,0.9475092515349388
16,1.4795690434319633,1.5114370584487915,0.7231441888873865,0.6223699077963829,0.05964088812470436,0.9448570683598518
17,1.4725757156099593,1.5064894706010818,0.7236720308996938,0.6227805987000465,0.06146778166294098,0.9456003084778786
18,1.4672151463372367,1.4978653490543365,0.7276866255700073,0.6240140795707703,0.059291863813996315,0.9428337141871452
19,1.4585618764635115,1.493167370557785,0.7302039925274173,0.6236204281449318,0.06118619628250599,0.9432464018464088
20,1.4518421793740892,1.487687811255455,0.7302199846454092,0.6250608935952187,0.06050804117694497,0.9408728182315826
